INFORME DE COMPARACION IFC - BC3;;
Generado: 05/01/2026 11:41;;
;;
RESUMEN EJECUTIVO;;
398 errores y 136 avisos detectados;;
;;
ESTADISTICAS DE EMPAREJAMIENTO;;
Concepto;Valor;Descripcion
Tipos en modelo IFC;398;Familias/tipos encontrados en el archivo IFC
Partidas en presupuesto BC3;136;Elementos encontrados en el archivo BC3
Emparejados correctamente;0;Elementos que coinciden entre modelo y presupuesto
Solo en IFC (sin presupuestar);398;Elementos modelados pero no incluidos en presupuesto
Solo en BC3 (sin modelar);136;Partidas presupuestadas pero no modeladas
Tasa de emparejamiento;0.0%;Porcentaje de elementos emparejados
;;
RESULTADOS DE LA COMPARACION;;
Tipo;Codi/Nom;Estat
Error (Solo en IFC);Plataforma:Zahorra 30cm:349011;No trobat al BC3
Error (Solo en IFC);EST_FUN_Zapata_HormLimp:300x300x100cm HL=10cm:355870;No trobat al BC3
Error (Solo en IFC);M_Single-Flush:0915 x 2134mm:422209;No trobat al BC3
Error (Solo en IFC);System Panel:Glazed:393332;No trobat al BC3
Error (Solo en IFC);System Panel:Glazed:393330;No trobat al BC3
Error (Solo en IFC);M_Single-Flush:0915 x 2134mm:422918:1;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:393383;No trobat al BC3
Error (Solo en IFC);Barandilla:1100mm:386975;No trobat al BC3
Error (Solo en IFC);Pilar rectangular hormigón:600 x 600 mm:350232;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:393592;No trobat al BC3
Error (Solo en IFC);PUERTA IKEMA BASICA:PI 1_3000x3000:361870:1;No trobat al BC3
Error (Solo en IFC);EST_FUN_VigaRiostra+HormLimpieza:VR_400x600_HormLimp_100 mm:414688;No trobat al BC3
Error (Solo en IFC);EST_FUN_Zapata_HormLimp:300x300x100cm HL=10cm:355879;No trobat al BC3
Error (Solo en IFC);ASSA ABLOY BE_Doorset_Emergency Exit Door_HardwareSet 3D:930x2110 (1070X2200):392475:1;No trobat al BC3
Error (Solo en IFC);System Panel:Glazed:393561;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:393408;No trobat al BC3
Error (Solo en IFC);System Panel:Glazed:393326;No trobat al BC3
Error (Solo en IFC);ASSA ABLOY BE_Architectural and Accessory Hardware_TONIC LINE_Litto ASSA ABLOY_TL1102LSS 3D:4XTL1102LSS:404028;No trobat al BC3
Error (Solo en IFC);System Panel:Glazed:393334;No trobat al BC3
Error (Solo en IFC);Pilar rectangular hormigón:600 x 600 mm:350252;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:421766;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:399798;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:393438;No trobat al BC3
Error (Solo en IFC);JACENA I:I-220:353950;No trobat al BC3
Error (Solo en IFC);EST_FUN_VigaRiostra+HormLimpieza:VR_400x600_HormLimp_100 mm:414915;No trobat al BC3
Error (Solo en IFC);M_Single-Flush:0762 x 2032mm:423784;No trobat al BC3
Error (Solo en IFC);JACENA I:I-220:353933;No trobat al BC3
Error (Solo en IFC);Pilar rectangular hormigón:600 x 600 mm:388727;No trobat al BC3
Error (Solo en IFC);Escalera prefabricada:Escalera:386523 Run 1;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:399784;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:394418;No trobat al BC3
Error (Solo en IFC);EST_FUN_Zapata_Horm_Limpieza:EST_FUN_Zapata_Horm_Limpieza:355837;No trobat al BC3
Error (Solo en IFC);M_Parking Space:4800 x 2400mm  0 deg:420099;No trobat al BC3
Error (Solo en IFC);ASSA ABLOY BE_Architectural and Accessory Hardware_TONIC LINE_Litto ASSA ABLOY_TL1102LSS 3D:4XTL1102LSS:392842;No trobat al BC3
Error (Solo en IFC);Techo compuesto:600 x 600mm Grid:425876;No trobat al BC3
Error (Solo en IFC);EST_FUN_VigaRiostra+HormLimpieza:VR_400x600_HormLimp_100 mm:358938;No trobat al BC3
Error (Solo en IFC);ASSA ABLOY BE_Doorset_Emergency Exit Door_HardwareSet 3D:930x2110 (1070X2200):392548;No trobat al BC3
Error (Solo en IFC);System Panel:Glazed:393565;No trobat al BC3
Error (Solo en IFC);System Panel:Glazed:393559;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:393406;No trobat al BC3
Error (Solo en IFC);EST_FUN_HormLimpiezaVR:EST_FUN_HormLimpiezaVR:414916;No trobat al BC3
Error (Solo en IFC);M_Parking Space:4800 x 2400mm  0 deg:420154;No trobat al BC3
Error (Solo en IFC);Muro cortina:Storefront:421351;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:393585;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:421806;No trobat al BC3
Error (Solo en IFC);M_Parking Space:4800 x 2400mm  0 deg:420137;No trobat al BC3
Error (Solo en IFC);Muro básico:ARQ_MUR_BloqueHorm_20cm:422126;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:393433;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:393448;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:393580;No trobat al BC3
Error (Solo en IFC);Hormigón-Viga rectangular:400 x 800mm:388682;No trobat al BC3
Error (Solo en IFC);EST_FUN_Zapata_Horm_Limpieza:EST_FUN_Zapata_Horm_Limpieza:408070;No trobat al BC3
Error (Solo en IFC);Muro básico:ARQ_MUR_BloqueHorm_20cm:384872;No trobat al BC3
Error (Solo en IFC);Muro básico:ARQ_MUR_PanelHormPref_20cm:358026;No trobat al BC3
Error (Solo en IFC);Pilar rectangular hormigón:600 x 800 mm:350262;No trobat al BC3
Error (Solo en IFC);M_Parking Space:4800 x 2400mm  0 deg:420171;No trobat al BC3
Error (Solo en IFC);Muro básico:COMPOSITE:402832;No trobat al BC3
Error (Solo en IFC);EST_FUN_VigaRiostra+HormLimpieza:VR_400x600_HormLimp_100 mm:358820;No trobat al BC3
Error (Solo en IFC);ASSA ABLOY BE_Panic and Exit Devices_PUSH_Vachette ASSA ABLOY 3D:VLPE6840X:392549;No trobat al BC3
Error (Solo en IFC);EST_FUN_Zapata_HormLimp:300x300x100cm HL=10cm:408068;No trobat al BC3
Error (Solo en IFC);SIAMGRAND Aluminium Door sliding (f-s-s-f) NOVA 10:2900x2400 Gray:398875;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:421796;No trobat al BC3
Error (Solo en IFC);ASSA ABLOY BE_Doorset_Emergency Exit Door_HardwareSet 3D:930x2110 (1070X2200):404025;No trobat al BC3
Error (Solo en IFC);Muro básico:Interior - Blockwork 140 - EXT ROJO:393792;No trobat al BC3
Error (Solo en IFC);EST_FUN_HormLimpiezaVR:EST_FUN_HormLimpiezaVR:414689;No trobat al BC3
Error (Solo en IFC);EST_FUN_Zapata_Horm_Limpieza:EST_FUN_Zapata_Horm_Limpieza:379487;No trobat al BC3
Error (Solo en IFC);EST_FUN_Zapata_HormLimp:300x300x100cm HL=10cm:355839;No trobat al BC3
Error (Solo en IFC);EST_FUN_Zapata_Horm_Limpieza:EST_FUN_Zapata_Horm_Limpieza:355828;No trobat al BC3
Error (Solo en IFC);EST_FUN_Zapata_Horm_Limpieza:EST_FUN_Zapata_Horm_Limpieza:355873;No trobat al BC3
Error (Solo en IFC);System Panel:Glazed:393560;No trobat al BC3
Error (Solo en IFC);Muro básico:ARQ_MUR_BloqueHorm_20cm:387723;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:393581;No trobat al BC3
Error (Solo en IFC);M_Single-Flush:0915 x 2134mm:421442;No trobat al BC3
Error (Solo en IFC);M_Single-Flush:0813 x 2134mm:423542:1;No trobat al BC3
Error (Solo en IFC);Hormigón-Viga rectangular:400 x 800mm:389208;No trobat al BC3
Error (Solo en IFC);EST_FUN_Zapata_Horm_Limpieza:EST_FUN_Zapata_Horm_Limpieza:355864;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:393378;No trobat al BC3
Error (Solo en IFC);Muro básico:ARQ_MUR_PanelHormPref_20cm:358024;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:393437;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:393589;No trobat al BC3
Error (Solo en IFC);System Panel:Glazed:421777;No trobat al BC3
Error (Solo en IFC);Plataforma:Zahorra 30cm:418774;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:393587;No trobat al BC3
Error (Solo en IFC);Muro básico:Interior - Blockwork 100:423385;No trobat al BC3
Error (Solo en IFC);Muro básico:Interior - Blockwork 100:423746;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:393393;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:394421;No trobat al BC3
Error (Solo en IFC);JACENA I:I-220:352950;No trobat al BC3
Error (Solo en IFC);Muro básico:ARQ_MUR_BloqueHorm_20cm:406413;No trobat al BC3
Error (Solo en IFC);M_Parking Space:4800 x 2400mm  0 deg:420135;No trobat al BC3
Error (Solo en IFC);M_Parking Space:4800 x 2400mm  0 deg:420101;No trobat al BC3
Error (Solo en IFC);M_Parking Space:4800 x 2400mm  0 deg:420100;No trobat al BC3
Error (Solo en IFC);Pilar rectangular hormigón:600 x 600 mm:350238;No trobat al BC3
Error (Solo en IFC);EST_FUN_Zapata_Horm_Limpieza:EST_FUN_Zapata_Horm_Limpieza:355874;No trobat al BC3
Error (Solo en IFC);Barandilla:1100mm:386979;No trobat al BC3
Error (Solo en IFC);M_Parking Space:4800 x 2400mm  0 deg:420116;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:399792;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:393390;No trobat al BC3
Error (Solo en IFC);ASSA ABLOY BE_Architectural and Accessory Hardware_TONIC LINE_Litto ASSA ABLOY_TL1102LSS 3D:4XTL1102LSS:392286;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:394420;No trobat al BC3
Error (Solo en IFC);Suelo:EST_SUE_PlacaAlveolar+Solera+SueloCeramico_40cm:384999;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:393392;No trobat al BC3
Error (Solo en IFC);EST_FUN_Zapata_Horm_Limpieza:EST_FUN_Zapata_Horm_Limpieza:355838;No trobat al BC3
Error (Solo en IFC);Muro básico:ARQ_MUR_BloqueHorm_20cm:406611;No trobat al BC3
Error (Solo en IFC);ASSA ABLOY BE_Doorset_Emergency Exit Door_HardwareSet 3D:930x2110 (1070X2200):392475;No trobat al BC3
Error (Solo en IFC);Muro básico:Interior - Blockwork 140 - EXT ROJO:393801;No trobat al BC3
Error (Solo en IFC);System Panel:Glazed:393562;No trobat al BC3
Error (Solo en IFC);Pilar rectangular hormigón:600 x 600 mm:379260;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:393409;No trobat al BC3
Error (Solo en IFC);EST_FUN_HormLimpiezaVR:EST_FUN_HormLimpiezaVR:358362;No trobat al BC3
Error (Solo en IFC);Muro básico:ARQ_MUR_BloqueHorm_20cm:387724;No trobat al BC3
Error (Solo en IFC);EST_FUN_Zapata_HormLimp:300x300x100cm HL=10cm:355877;No trobat al BC3
Error (Solo en IFC);EST_FUN_Zapata_Horm_Limpieza:EST_FUN_Zapata_Horm_Limpieza:355847;No trobat al BC3
Error (Solo en IFC);Hormigón-Viga rectangular:400 x 800mm:389214;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:393594;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:393599;No trobat al BC3
Error (Solo en IFC);M_Single-Flush:0915 x 2134mm:421997;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:393441;No trobat al BC3
Error (Solo en IFC);ASSA ABLOY BE_Panic and Exit Devices_PUSH_Vachette ASSA ABLOY 3D:VLPE6840X:392421;No trobat al BC3
Error (Solo en IFC);EST_FUN_Zapata_Horm_Limpieza:EST_FUN_Zapata_Horm_Limpieza:355883;No trobat al BC3
Error (Solo en IFC);EST_FUN_HormLimpiezaVR:EST_FUN_HormLimpiezaVR:358821;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:393410;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:394419;No trobat al BC3
Error (Solo en IFC);EST_FUN_Zapata_HormLimp:300x300x100cm HL=10cm:355826;No trobat al BC3
Error (Solo en IFC);EST_FUN_Zapata_Horm_Limpieza:EST_FUN_Zapata_Horm_Limpieza:355881;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:421801;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:394422;No trobat al BC3
Error (Solo en IFC);M_Single-Flush:0915 x 2134mm:421997:1;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:421794;No trobat al BC3
Error (Solo en IFC);ASSA ABLOY BE_Doorset_Emergency Exit Door_HardwareSet 3D:930x2110 (1070X2200):392281:1;No trobat al BC3
Error (Solo en IFC);Techo compuesto:600 x 600mm Grid:425901;No trobat al BC3
Error (Solo en IFC);Muro básico:ARQ_MUR_BloqueHorm_20cm:384616;No trobat al BC3
Error (Solo en IFC);Pilar rectangular hormigón:600 x 600 mm:350246;No trobat al BC3
Error (Solo en IFC);Suelo:Generic 200mm:405649;No trobat al BC3
Error (Solo en IFC);EST_FUN_Zapata_Horm_Limpieza:EST_FUN_Zapata_Horm_Limpieza:355829;No trobat al BC3
Error (Solo en IFC);Pilar rectangular hormigón:600 x 600 mm:388722;No trobat al BC3
Error (Solo en IFC);JACENA I:I-220:353931;No trobat al BC3
Error (Solo en IFC);Escalera prefabricada:Escalera:386523;No trobat al BC3
Error (Solo en IFC);M_Single-Flush:0915 x 2134mm:421899;No trobat al BC3
Error (Solo en IFC);EST_FUN_Zapata_HormLimp:300x300x100cm HL=10cm:355834;No trobat al BC3
Error (Solo en IFC);Plataforma:Zahorra 30cm:404650;No trobat al BC3
Error (Solo en IFC);Muro básico:ARQ_MUR_BloqueHorm_20cm:400732;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:421805;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:393436;No trobat al BC3
Error (Solo en IFC);EST_FUN_Zapata_HormLimp:300x300x100cm HL=10cm:355868;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:394416;No trobat al BC3
Error (Solo en IFC);Muro básico:COMPOSITE:402788;No trobat al BC3
Error (Solo en IFC);M_Parking Space:4800 x 2400mm  0 deg:420118;No trobat al BC3
Error (Solo en IFC);EST_FUN_HormLimpiezaVR:EST_FUN_HormLimpiezaVR:358939;No trobat al BC3
Error (Solo en IFC);Muro cortina:Storefront:393318;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:393595;No trobat al BC3
Error (Solo en IFC);EST_FUN_Zapata_Horm_Limpieza:EST_FUN_Zapata_Horm_Limpieza:388860;No trobat al BC3
Error (Solo en IFC);Hormigón-Viga rectangular:400 x 800mm:389210;No trobat al BC3
Error (Solo en IFC);ASSA ABLOY BE_Doorset_Emergency Exit Door_HardwareSet 3D:930x2110 (1070X2200):392837;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:393384;No trobat al BC3
Error (Solo en IFC);ASSA ABLOY BE_Door Closers_Cam-Motion®_ASSA ABLOY_DC500 3D:DC500:392841;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:421800;No trobat al BC3
Error (Solo en IFC);EST_FUN_Zapata_HormLimp:300x300x100cm HL=10cm:355290;No trobat al BC3
Error (Solo en IFC);EST_FUN_Zapata_HormLimp:300x300x100cm HL=10cm:355852;No trobat al BC3
Error (Solo en IFC);Muro básico:ARQ_MUR_BloqueHorm_20cm:384723;No trobat al BC3
Error (Solo en IFC);EST_FUN_Zapata_HormLimp:300x300x100cm HL=10cm:355859;No trobat al BC3
Error (Solo en IFC);Muro básico:Interior - Blockwork 140 - EXT ROJO:393793;No trobat al BC3
Error (Solo en IFC);Hormigón-Viga rectangular:400 x 800mm:388113;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:393443;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:393376;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:393444;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:393404;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:393403;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:393445;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:393381;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:393375;No trobat al BC3
Error (Solo en IFC);EST_FUN_Zapata_Horm_Limpieza:EST_FUN_Zapata_Horm_Limpieza:355846;No trobat al BC3
Error (Solo en IFC);Pilar rectangular hormigón:600 x 600 mm:388673;No trobat al BC3
Error (Solo en IFC);System Panel:Glazed:393563;No trobat al BC3
Error (Solo en IFC);M_Single-Flush:0762 x 2032mm:423784:1;No trobat al BC3
Error (Solo en IFC);JACENA I:I-220:353901;No trobat al BC3
Error (Solo en IFC);Pilar rectangular hormigón:600 x 600 mm:350240;No trobat al BC3
Error (Solo en IFC);System Panel:Glazed:421775;No trobat al BC3
Error (Solo en IFC);Muro básico:ARQ_MUR_BloqueHorm_20cm:422185;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:399810;No trobat al BC3
Error (Solo en IFC);Suelo:Generic 200mm:405558;No trobat al BC3
Error (Solo en IFC);M_Parking Space:4800 x 2400mm  0 deg:420136;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:393386;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:421802;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:421798;No trobat al BC3
Error (Solo en IFC);Techo compuesto:600 x 600mm Grid:425893;No trobat al BC3
Error (Solo en IFC);System Panel:Glazed:393319;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:394413;No trobat al BC3
Error (Solo en IFC);Hormigón-Viga rectangular:300 x 450 mm:385807;No trobat al BC3
Error (Solo en IFC);ASSA ABLOY BE_Doorset_Emergency Exit Door_HardwareSet 3D:930x2110 (1070X2200):392418;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:393399;No trobat al BC3
Error (Solo en IFC);System Panel:Glazed:421762;No trobat al BC3
Error (Solo en IFC);ASSA ABLOY BE_Doorset_Emergency Exit Door_HardwareSet 3D:930x2110 (1070X2200):392418:1;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:394415;No trobat al BC3
Error (Solo en IFC);Techo compuesto:600 x 600mm Grid:407563;No trobat al BC3
Error (Solo en IFC);System Panel:Glazed:421773;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:421792;No trobat al BC3
Error (Solo en IFC);M_Parking Space:4800 x 2400mm  0 deg:420153;No trobat al BC3
Error (Solo en IFC);M_Single-Flush:0915 x 2134mm:392032:1;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:393388;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:393588;No trobat al BC3
Error (Solo en IFC);EST_FUN_Zapata_HormLimp:300x300x100cm HL=10cm:355841;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:393382;No trobat al BC3
Error (Solo en IFC);JACENA I:I-220:353918;No trobat al BC3
Error (Solo en IFC);M_Parking Space:4800 x 2400mm  0 deg:420152;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:393434;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:425706;No trobat al BC3
Error (Solo en IFC);Muro básico:ARQ_MUR_PanelHormPref_20cm:358023;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:393405;No trobat al BC3
Error (Solo en IFC);M_Parking Space:4800 x 2400mm  0 deg:420169;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:393584;No trobat al BC3
Error (Solo en IFC);EST_FUN_Zapata_HormLimp:200x200x80cm HL=10cm:388858;No trobat al BC3
Error (Solo en IFC);M_Single-Flush:0915 x 2134mm:421442:1;No trobat al BC3
Error (Solo en IFC);ASSA ABLOY BE_Doorset_Emergency Exit Door_HardwareSet 3D:930x2110 (1070X2200):404025:1;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:393411;No trobat al BC3
Error (Solo en IFC);Cubierta básica:Generic - 125mm:359208;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:393597;No trobat al BC3
Error (Solo en IFC);Muro básico:Interior - Blockwork 140 - EXT ROJO:393796;No trobat al BC3
Error (Solo en IFC);Muro básico:Interior - Blockwork 140 - EXT ROJO:393794;No trobat al BC3
Error (Solo en IFC);Pilar rectangular hormigón:600 x 600 mm:350254;No trobat al BC3
Error (Solo en IFC);ASSA ABLOY BE_Doorset_Emergency Exit Door_HardwareSet 3D:930x2110 (1070X2200):392281;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:393387;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:393449;No trobat al BC3
Error (Solo en IFC);Muro básico:ARQ_MUR_PanelHPREF_Base_20cm 2:408607;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:393402;No trobat al BC3
Error (Solo en IFC);Pilar rectangular hormigón:600 x 600 mm:350242;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:394417;No trobat al BC3
Error (Solo en IFC);Hormigón-Viga rectangular:400 x 800mm:389212;No trobat al BC3
Error (Solo en IFC);JACENA I:I-220:353948;No trobat al BC3
Error (Solo en IFC);PUERTA IKEMA BASICA:PI 1_3000x3000:361870;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:421803;No trobat al BC3
Error (Solo en IFC);Muro básico:Interior - Blockwork 140 - EXT ROJO:393798;No trobat al BC3
Error (Solo en IFC);Muro básico:ARQ_MUR_HormInSitu_20cm:415086;No trobat al BC3
Error (Solo en IFC);Techo compuesto:600 x 1200mm Grid:387587;No trobat al BC3
Error (Solo en IFC);EST_FUN_Zapata_Horm_Limpieza:EST_FUN_Zapata_Horm_Limpieza:355856;No trobat al BC3
