INFORME DE COMPARACION IFC - BC3;;
Error (Solo en IFC);ASSA ABLOY BE_Panic and Exit Devices_PUSH_Vachette ASSA ABLOY 3D:VLPE6840X:392840;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:393379;No trobat al BC3
Error (Solo en IFC);Hormigón-Viga rectangular:400 x 800mm:388680;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:393398;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:393582;No trobat al BC3
Error (Solo en IFC);Techo compuesto:600 x 600mm Grid:425909;No trobat al BC3
Error (Solo en IFC);EST_FUN_HormLimpiezaVR:EST_FUN_HormLimpiezaVR:356134;No trobat al BC3
Error (Solo en IFC);Pilar rectangular hormigón:600 x 600 mm:388735;No trobat al BC3
Error (Solo en IFC);System Panel:Glazed:393566;No trobat al BC3
Error (Solo en IFC);EST_FUN_Zapata_Horm_Limpieza:EST_FUN_Zapata_Horm_Limpieza:355872;No trobat al BC3
Error (Solo en IFC);System Panel:Glazed:393328;No trobat al BC3
Error (Solo en IFC);Muro básico:Interior - Blockwork 140 - EXT ROJO:393799;No trobat al BC3
Error (Solo en IFC);ASSA ABLOY BE_Panic and Exit Devices_PUSH_Vachette ASSA ABLOY 3D:VLPE6840X:392478;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:421795;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:394423;No trobat al BC3
Error (Solo en IFC);Pilar rectangular hormigón:600 x 600 mm:388678;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:393374;No trobat al BC3
Error (Solo en IFC);EST_FUN_Zapata_HormLimp:300x300x100cm HL=10cm:355850;No trobat al BC3
Error (Solo en IFC);M_Parking Space:4800 x 2400mm  0 deg:419898;No trobat al BC3
Error (Solo en IFC);Pilar rectangular hormigón:600 x 600 mm:350250;No trobat al BC3
Error (Solo en IFC);EST_FUN_Zapata_HormLimp:300x300x100cm HL=10cm:355875;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:393394;No trobat al BC3
Error (Solo en IFC);EST_FUN_Zapata_Horm_Limpieza:EST_FUN_Zapata_Horm_Limpieza:355865;No trobat al BC3
Error (Solo en IFC);ASSA ABLOY BE_Door Closers_Cam-Motion®_ASSA ABLOY_DC500 3D:DC500:392422;No trobat al BC3
Error (Solo en IFC);ASSA ABLOY BE_Architectural and Accessory Hardware_TONIC LINE_Litto ASSA ABLOY_TL1102LSS 3D:4XTL1102LSS:392480;No trobat al BC3
Error (Solo en IFC);System Panel:Glazed:421771;No trobat al BC3
Error (Solo en IFC);Techo compuesto:600 x 600mm Grid:387579;No trobat al BC3
Error (Solo en IFC);Muro básico:ARQ_MUR_BloqueHorm_20cm:422454;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:425707;No trobat al BC3
Error (Solo en IFC);Plataforma:Zahorra 30cm:415821;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:425708;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:393432;No trobat al BC3
Error (Solo en IFC);EST_FUN_Zapata_HormLimp:300x300x100cm HL=10cm:355861;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:393439;No trobat al BC3
Error (Solo en IFC);Suelo:Generic 200mm:360464;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:393596;No trobat al BC3
Error (Solo en IFC);Suelo:Generic 200mm:415981;No trobat al BC3
Error (Solo en IFC);ASSA ABLOY BE_Panic and Exit Devices_PUSH_Vachette ASSA ABLOY 3D:VLPE6840X:392284;No trobat al BC3
Error (Solo en IFC);Muro básico:ARQ_MUR_PanelHormPref_20cm:405941;No trobat al BC3
Error (Solo en IFC);EST_FUN_Zapata_Horm_Limpieza:EST_FUN_Zapata_Horm_Limpieza:355845;No trobat al BC3
Error (Solo en IFC);ASSA ABLOY BE_Doorset_Emergency Exit Door_HardwareSet 3D:930x2110 (1070X2200):392548:1;No trobat al BC3
Error (Solo en IFC);System Panel:Glazed:393336;No trobat al BC3
Error (Solo en IFC);System Panel:Glazed:393564;No trobat al BC3
Error (Solo en IFC);System Panel:Glazed:394391;No trobat al BC3
Error (Solo en IFC);M_Parking Space:4800 x 2400mm  0 deg:419673;No trobat al BC3
Error (Solo en IFC);EST_FUN_Zapata_Horm_Limpieza:EST_FUN_Zapata_Horm_Limpieza:355854;No trobat al BC3
Error (Solo en IFC);Pilar rectangular hormigón:600 x 600 mm:387943;No trobat al BC3
Error (Solo en IFC);System Panel:Glazed:394399;No trobat al BC3
Error (Solo en IFC);System Panel:Glazed:394397;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:393583;No trobat al BC3
Error (Solo en IFC);Pilar rectangular hormigón:600 x 600 mm:350234;No trobat al BC3
Error (Solo en IFC);ASSA ABLOY BE_Panic and Exit Devices_PUSH_Vachette ASSA ABLOY 3D:VLPE6840X:404026;No trobat al BC3
Error (Solo en IFC);EST_FUN_Zapata_HormLimp:300x300x100cm HL=10cm:379485;No trobat al BC3
Error (Solo en IFC);EST_FUN_Zapata_Horm_Limpieza:EST_FUN_Zapata_Horm_Limpieza:355863;No trobat al BC3
Error (Solo en IFC);M_Parking Space:4800 x 2400mm  0 deg:420170;No trobat al BC3
Error (Solo en IFC);Pilar rectangular hormigón:600 x 600 mm:388720;No trobat al BC3
Error (Solo en IFC);Muro básico:Interior - Blockwork 140 - EXT ROJO:393795;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:393600;No trobat al BC3
Error (Solo en IFC);EST_FUN_Zapata_Horm_Limpieza:EST_FUN_Zapata_Horm_Limpieza:355882;No trobat al BC3
Error (Solo en IFC);M_Parking Space:4800 x 2400mm  0 deg:420065;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:425709;No trobat al BC3
Error (Solo en IFC);Muro básico:Interior - Blockwork 140 - EXT ROJO:393800;No trobat al BC3
Error (Solo en IFC);M_Parking Space:4800 x 2400mm  0 deg:420084;No trobat al BC3
Error (Solo en IFC);Suelo:Generic 200mm:418802;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:393380;No trobat al BC3
Error (Solo en IFC);Muro básico:ARQ_MUR_PanelHormPref_20cm:358025;No trobat al BC3
Error (Solo en IFC);System Panel:Glazed:394395;No trobat al BC3
Error (Solo en IFC);ASSA ABLOY BE_Architectural and Accessory Hardware_TONIC LINE_Litto ASSA ABLOY_TL1102LSS 3D:4XTL1102LSS:392551;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:421793;No trobat al BC3
Error (Solo en IFC);M_Single-Flush:0915 x 2134mm:421899:1;No trobat al BC3
Error (Solo en IFC);Pilar rectangular hormigón:600 x 800 mm:350258;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:393389;No trobat al BC3
Error (Solo en IFC);M_Parking Space:4800 x 2400mm  0 deg:420064;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:393590;No trobat al BC3
Error (Solo en IFC);EST_FUN_VigaRiostra+HormLimpieza:VR_400x600_HormLimp_100 mm:358361;No trobat al BC3
Error (Solo en IFC);Techo compuesto:600 x 600mm Grid:407571;No trobat al BC3
Error (Solo en IFC);ASSA ABLOY BE_Doorset_Emergency Exit Door_HardwareSet 3D:930x2110 (1070X2200):392837:1;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:393447;No trobat al BC3
Error (Solo en IFC);EST_FUN_Zapata_HormLimp:200x200x80cm HL=10cm:355832;No trobat al BC3
Error (Solo en IFC);System Panel:Glazed:393324;No trobat al BC3
Error (Solo en IFC);Hormigón-Viga rectangular:300 x 450 mm:386398;No trobat al BC3
Error (Solo en IFC);M_Single-Flush:0915 x 2134mm:391935;No trobat al BC3
Error (Solo en IFC);Plataforma:Zahorra 30cm:404906;No trobat al BC3
Error (Solo en IFC);JACENA I:I-220:353903;No trobat al BC3
Error (Solo en IFC);EST_FUN_Zapata_Horm_Limpieza:EST_FUN_Zapata_Horm_Limpieza:355855;No trobat al BC3
Error (Solo en IFC);M_Parking Space:4800 x 2400mm  0 deg:420117;No trobat al BC3
Error (Solo en IFC);Pilar rectangular hormigón:600 x 800 mm:350260;No trobat al BC3
Error (Solo en IFC);PUERTA IKEMA BASICA:PI 1_3000x3000:392789;No trobat al BC3
Error (Solo en IFC);System Panel:Glazed:393338;No trobat al BC3
Error (Solo en IFC);ASSA ABLOY BE_Architectural and Accessory Hardware_TONIC LINE_Litto ASSA ABLOY_TL1102LSS 3D:4XTL1102LSS:392423;No trobat al BC3
Error (Solo en IFC);M_Single-Flush:0915 x 2134mm:422209:1;No trobat al BC3
Error (Solo en IFC);Escalera prefabricada:Escalera:386523 Run 2;No trobat al BC3
Error (Solo en IFC);EST_FUN_Zapata_HormLimp:300x300x100cm HL=10cm:355848;No trobat al BC3
Error (Solo en IFC);M_Single-Flush:0915 x 2134mm:422795:1;No trobat al BC3
Error (Solo en IFC);Hormigón-Viga rectangular:400 x 800mm:388278;No trobat al BC3
Error (Solo en IFC);M_Single-Flush:0915 x 2134mm:391935:1;No trobat al BC3
Error (Solo en IFC);ASSA ABLOY BE_Door Closers_Cam-Motion®_ASSA ABLOY_DC500 3D:DC500:392479;No trobat al BC3
Error (Solo en IFC);Pilar rectangular hormigón:600 x 600 mm:388733;No trobat al BC3
Error (Solo en IFC);M_Single-Flush:0813 x 2134mm:423542;No trobat al BC3
Error (Solo en IFC);EST_FUN_Zapata_HormLimp:300x300x100cm HL=10cm:355830;No trobat al BC3
Error (Solo en IFC);Pilar rectangular hormigón:600 x 800 mm:350264;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:421804;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:393407;No trobat al BC3
Error (Solo en IFC);M_Parking Space:4800 x 2400mm  0 deg:420083;No trobat al BC3
Error (Solo en IFC);Muro básico:COMPOSITE:402151;No trobat al BC3
Error (Solo en IFC);ASSA ABLOY BE_Door Closers_Cam-Motion®_ASSA ABLOY_DC500 3D:DC500:404027;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:421797;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:393395;No trobat al BC3
Error (Solo en IFC);M_Single-Flush:0915 x 2134mm:392032;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:393377;No trobat al BC3
Error (Solo en IFC);M_Parking Space:4800 x 2400mm  0 deg:419987;No trobat al BC3
Error (Solo en IFC);Pilar rectangular hormigón:600 x 800 mm:350256;No trobat al BC3
Error (Solo en IFC);EST_FUN_Zapata_Horm_Limpieza:EST_FUN_Zapata_Horm_Limpieza:355836;No trobat al BC3
Error (Solo en IFC);PUERTA IKEMA BASICA:PI 1_3000x3000:392789:1;No trobat al BC3
Error (Solo en IFC);Techo compuesto:600 x 600mm Grid:425885;No trobat al BC3
Error (Solo en IFC);System Panel:Glazed:421778;No trobat al BC3
Error (Solo en IFC);Pilar rectangular hormigón:600 x 600 mm:350236;No trobat al BC3
Error (Solo en IFC);EST_FUN_Zapata_HormLimp:300x300x100cm HL=10cm:355866;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:394414;No trobat al BC3
Error (Solo en IFC);M_Single-Flush:0915 x 2134mm:422918;No trobat al BC3
Error (Solo en IFC);Muro básico:Interior - Blockwork 100:423494;No trobat al BC3
Error (Solo en IFC);EST_FUN_VigaRiostra+HormLimpieza:VR_400x600_HormLimp_100 mm:356133;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:393586;No trobat al BC3
Error (Solo en IFC);M_Single-Flush:0915 x 2134mm:422795;No trobat al BC3
Error (Solo en IFC);Escalera prefabricada:Escalera:386523 Landing 1;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:421767;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:393391;No trobat al BC3
Error (Solo en IFC);JACENA I:I-220:353468;No trobat al BC3
Error (Solo en IFC);System Panel:Glazed:394393;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:393442;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:393435;No trobat al BC3
Error (Solo en IFC);EST_FUN_Zapata_HormLimp:300x300x100cm HL=10cm:355857;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:399804;No trobat al BC3
Error (Solo en IFC);M_Parking Space:4800 x 2400mm  0 deg:420082;No trobat al BC3
Error (Solo en IFC);System Panel:Glazed:393567;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:393598;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:393591;No trobat al BC3
Error (Solo en IFC);Muro básico:Interior - Blockwork 140 - EXT ROJO:393797;No trobat al BC3
Error (Solo en IFC);Muro básico:Interior - 135mm Partition (2-hr):406707;No trobat al BC3
Error (Solo en IFC);M_Parking Space:4800 x 2400mm  0 deg:420063;No trobat al BC3
Error (Solo en IFC);Muro básico:Interior - Blockwork 100:421985;No trobat al BC3
Error (Solo en IFC);Hormigón-Viga rectangular:300 x 450 mm:385856;No trobat al BC3
Error (Solo en IFC);Muro básico:ARQ_MUR_HormInSitu_20cm:415535;No trobat al BC3
Error (Solo en IFC);EST_FUN_Zapata_HormLimp:300x300x100cm HL=10cm:355824;No trobat al BC3
Error (Solo en IFC);Suelo:Generic 200mm:416891;No trobat al BC3
Error (Solo en IFC);EST_FUN_Zapata_Horm_Limpieza:EST_FUN_Zapata_Horm_Limpieza:355292;No trobat al BC3
Error (Solo en IFC);EST_FUN_Zapata_HormLimp:300x300x100cm HL=10cm:355843;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:393440;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:393593;No trobat al BC3
Error (Solo en IFC);Pilar rectangular hormigón:600 x 600 mm:350244;No trobat al BC3
Error (Solo en IFC);Pilar rectangular hormigón:600 x 600 mm:379327;No trobat al BC3
Error (Solo en IFC);Muro básico:COMPOSITE:402887;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:421765;No trobat al BC3
Error (Solo en IFC);System Panel:Glazed:421776;No trobat al BC3
Error (Solo en IFC);Pilar rectangular hormigón:600 x 600 mm:350248;No trobat al BC3
Error (Solo en IFC);System Panel:Glazed:393558;No trobat al BC3
Error (Solo en IFC);JACENA I:I-220:353916;No trobat al BC3
Error (Solo en IFC);Hormigón-Viga rectangular:300 x 450 mm:386396;No trobat al BC3
Error (Solo en IFC);ASSA ABLOY BE_Door Closers_Cam-Motion®_ASSA ABLOY_DC500 3D:DC500:392550;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:393446;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:421799;No trobat al BC3
Error (Solo en IFC);ASSA ABLOY BE_Door Closers_Cam-Motion®_ASSA ABLOY_DC500 3D:DC500:392285;No trobat al BC3
Error (Solo en IFC);Muro básico:ARQ_MUR_BloqueHorm_20cm:423052;No trobat al BC3
Aviso (Solo en BC3);2154006ce6da807a10c52529#;No trobat a l'IFC
Aviso (Solo en BC3);49488;No trobat a l'IFC
Aviso (Solo en BC3);421478;No trobat a l'IFC
Aviso (Solo en BC3);141749;No trobat a l'IFC
Aviso (Solo en BC3);29097;No trobat a l'IFC
Aviso (Solo en BC3);19848;No trobat a l'IFC
Aviso (Solo en BC3);49561;No trobat a l'IFC
Aviso (Solo en BC3);378878;No trobat a l'IFC
Aviso (Solo en BC3);25223;No trobat a l'IFC
Aviso (Solo en BC3);422360;No trobat a l'IFC
Aviso (Solo en BC3);23;No trobat a l'IFC
Aviso (Solo en BC3);403;No trobat a l'IFC
Aviso (Solo en BC3);416200;No trobat a l'IFC
Aviso (Solo en BC3);379821;No trobat a l'IFC
Aviso (Solo en BC3);379058;No trobat a l'IFC
Aviso (Solo en BC3);d01be03cc289732a91b81be1#;No trobat a l'IFC
Aviso (Solo en BC3);cd56c8aa009fe005b32465f1#;No trobat a l'IFC
Aviso (Solo en BC3);2001350#;No trobat a l'IFC
Aviso (Solo en BC3);385031#;No trobat a l'IFC
Aviso (Solo en BC3);2008107#;No trobat a l'IFC
Aviso (Solo en BC3);2000126#;No trobat a l'IFC
Aviso (Solo en BC3);2001340#;No trobat a l'IFC
Aviso (Solo en BC3);355425;No trobat a l'IFC
Aviso (Solo en BC3);2000160#;No trobat a l'IFC
Aviso (Solo en BC3);350145;No trobat a l'IFC
Aviso (Solo en BC3);395062;No trobat a l'IFC
Aviso (Solo en BC3);2000700#;No trobat a l'IFC
Aviso (Solo en BC3);Cut;No trobat a l'IFC
Aviso (Solo en BC3);49504;No trobat a l'IFC
Aviso (Solo en BC3);361849;No trobat a l'IFC
Aviso (Solo en BC3);415245;No trobat a l'IFC
Aviso (Solo en BC3);171672;No trobat a l'IFC
Aviso (Solo en BC3);88723c3731b7932f9f4568ac#;No trobat a l'IFC
Aviso (Solo en BC3);Áreas_PB#;No trobat a l'IFC
Aviso (Solo en BC3);355121;No trobat a l'IFC
Aviso (Solo en BC3);421251;No trobat a l'IFC
Aviso (Solo en BC3);01763966511d36575635ed50#;No trobat a l'IFC
Aviso (Solo en BC3);2001320#;No trobat a l'IFC
Aviso (Solo en BC3);2000996#;No trobat a l'IFC
Aviso (Solo en BC3);151741#;No trobat a l'IFC
Aviso (Solo en BC3);387531;No trobat a l'IFC
Aviso (Solo en BC3);356146#;No trobat a l'IFC
Aviso (Solo en BC3);2000120#;No trobat a l'IFC
Aviso (Solo en BC3);352900;No trobat a l'IFC
Aviso (Solo en BC3);54539;No trobat a l'IFC
Aviso (Solo en BC3);2000038#;No trobat a l'IFC
Aviso (Solo en BC3);12609#;No trobat a l'IFC
Aviso (Solo en BC3);Revit##0;No trobat a l'IFC
Aviso (Solo en BC3);102462;No trobat a l'IFC
Aviso (Solo en BC3);2000035#;No trobat a l'IFC
Aviso (Solo en BC3);Habit_PB#;No trobat a l'IFC
Aviso (Solo en BC3);416196;No trobat a l'IFC
Aviso (Solo en BC3);2000051#;No trobat a l'IFC
Aviso (Solo en BC3);356180;No trobat a l'IFC
Aviso (Solo en BC3);12611;No trobat a l'IFC
Aviso (Solo en BC3);350147;No trobat a l'IFC
Aviso (Solo en BC3);759;No trobat a l'IFC
Aviso (Solo en BC3);49480;No trobat a l'IFC
Aviso (Solo en BC3);404;No trobat a l'IFC
Aviso (Solo en BC3);380816;No trobat a l'IFC
Aviso (Solo en BC3);405309;No trobat a l'IFC
Aviso (Solo en BC3);f2d4f20de81b017428fb8429#;No trobat a l'IFC
Aviso (Solo en BC3);384768;No trobat a l'IFC
Aviso (Solo en BC3);8486;No trobat a l'IFC
Aviso (Solo en BC3);360277;No trobat a l'IFC
Aviso (Solo en BC3);418400;No trobat a l'IFC
Aviso (Solo en BC3);12613#;No trobat a l'IFC
Aviso (Solo en BC3);2000011#;No trobat a l'IFC
Aviso (Solo en BC3);163904#;No trobat a l'IFC
Aviso (Solo en BC3);49484;No trobat a l'IFC
Aviso (Solo en BC3);2008163#;No trobat a l'IFC
Aviso (Solo en BC3);384444;No trobat a l'IFC
Aviso (Solo en BC3);416213;No trobat a l'IFC
Aviso (Solo en BC3);8c7cea80df2bffefc425b808#;No trobat a l'IFC
Aviso (Solo en BC3);2003101#;No trobat a l'IFC
Aviso (Solo en BC3);2000032#;No trobat a l'IFC
Aviso (Solo en BC3);ffa15592296ee41928620a0a#;No trobat a l'IFC
Aviso (Solo en BC3);2003200#;No trobat a l'IFC
Aviso (Solo en BC3);f1585d0e69143b52aa3d4bca#;No trobat a l'IFC
Aviso (Solo en BC3);349637#;No trobat a l'IFC
Aviso (Solo en BC3);378959#;No trobat a l'IFC
Aviso (Solo en BC3);360932#;No trobat a l'IFC
Aviso (Solo en BC3);378874;No trobat a l'IFC
Aviso (Solo en BC3);385754;No trobat a l'IFC
Aviso (Solo en BC3);402158;No trobat a l'IFC
Aviso (Solo en BC3);368759#;No trobat a l'IFC
Aviso (Solo en BC3);1bdb3e9f0abc22a9cab2723d#;No trobat a l'IFC
Aviso (Solo en BC3);2001180#;No trobat a l'IFC
Aviso (Solo en BC3);404303;No trobat a l'IFC
Aviso (Solo en BC3);2000170#;No trobat a l'IFC
Aviso (Solo en BC3);378926#;No trobat a l'IFC
Aviso (Solo en BC3);c5d2dd0bf170338eeffbfdb5#;No trobat a l'IFC
Aviso (Solo en BC3);2000171#;No trobat a l'IFC
Aviso (Solo en BC3);2001300#;No trobat a l'IFC
Aviso (Solo en BC3);398;No trobat a l'IFC
Aviso (Solo en BC3);2000920#;No trobat a l'IFC
Aviso (Solo en BC3);3b84c223c87cf9064f14146f#;No trobat a l'IFC
Aviso (Solo en BC3);398098;No trobat a l'IFC
Aviso (Solo en BC3);414195;No trobat a l'IFC
Aviso (Solo en BC3);19847;No trobat a l'IFC
Aviso (Solo en BC3);423885;No trobat a l'IFC
Aviso (Solo en BC3);408701;No trobat a l'IFC
Aviso (Solo en BC3);422357;No trobat a l'IFC
Aviso (Solo en BC3);68751ca122004bd195d41eb1#;No trobat a l'IFC
Aviso (Solo en BC3);137323;No trobat a l'IFC
Aviso (Solo en BC3);400270;No trobat a l'IFC
Aviso (Solo en BC3);356145#;No trobat a l'IFC
Aviso (Solo en BC3);384484;No trobat a l'IFC
Aviso (Solo en BC3);3ac1d0acb7c1b37cfcba658e#;No trobat a l'IFC
Aviso (Solo en BC3);b74e94d46b2c057a14f47255#;No trobat a l'IFC
Aviso (Solo en BC3);358283;No trobat a l'IFC
Aviso (Solo en BC3);Áreas_P1#;No trobat a l'IFC
Aviso (Solo en BC3);416203;No trobat a l'IFC
Aviso (Solo en BC3);378892;No trobat a l'IFC
Aviso (Solo en BC3);463aba37a91624c06d68e298#;No trobat a l'IFC
Aviso (Solo en BC3);423688;No trobat a l'IFC
Aviso (Solo en BC3);171671;No trobat a l'IFC
Aviso (Solo en BC3);8482#;No trobat a l'IFC
Aviso (Solo en BC3);Habit_P1#;No trobat a l'IFC
Aviso (Solo en BC3);354019#;No trobat a l'IFC
Aviso (Solo en BC3);2003100#;No trobat a l'IFC
Aviso (Solo en BC3);360466;No trobat a l'IFC
Aviso (Solo en BC3);419784;No trobat a l'IFC
Aviso (Solo en BC3);73a5c388732eabc8da8068e5#;No trobat a l'IFC
Aviso (Solo en BC3);2001330#;No trobat a l'IFC
Aviso (Solo en BC3);12615;No trobat a l'IFC
Aviso (Solo en BC3);Fill;No trobat a l'IFC
Aviso (Solo en BC3);2001263#;No trobat a l'IFC
Aviso (Solo en BC3);2000919#;No trobat a l'IFC
Aviso (Solo en BC3);351049#;No trobat a l'IFC
Aviso (Solo en BC3);395101#;No trobat a l'IFC
Aviso (Solo en BC3);2c4e32d1964278dd07b2eda4#;No trobat a l'IFC
Aviso (Solo en BC3);337;No trobat a l'IFC
Aviso (Solo en BC3);355123#;No trobat a l'IFC
Aviso (Solo en BC3);378977#;No trobat a l'IFC
Aviso (Solo en BC3);2000023#;No trobat a l'IFC
;;
LEYENDA DE COLORES;;
;Rojo;Error - Requiere atencion inmediata
;Amarillo;Aviso - Revisar
;Verde;Correcto
